idiom,pinyin,explanation,originate,example,pyorder,frequency
痛定思痛,tòng  dìng  sī tòng,指悲痛的心情平静以后，再追想当时所受的痛苦。常含有警惕未来之意。,唐·韩愈《与李翱书》：“今而思之，如痛定之人，思当痛之时，不知何能自处也。”,境界危恶，层见错出，非人世所堪。～，痛何如哉！（宋·文天祥《指南录后序》）,tdst,3943
始终如一,shǐ  zhōng  rú  yī,始：开始；终：结束。自始自终一个样子。指能坚持，不间断。,《荀子·议兵》：“虑必先事而申之以敬，慎终如始，终始如一，夫是之谓大吉。”,吾观关胜义气凛然，～，军师不必多疑。（明·施耐庵《水浒全传》第六十七回）,szry,3928
啼笑皆非,tí  xiào  jiē  fēi,啼：哭；皆非：都不是。哭也不是，笑也不是，不知如何才好。形容处境尴尬或既令人难受又令人发笑的行为。,,刘久发～地站起来了。（沙汀《烦恼》）,txjf,3927
不闻不问,bù  wén  bù  wèn,闻：听。人家说的不听，也不主动去问。形容对事情不关心。,,大约这里的环境，本非有利于病，而不能完全～，也是使病缠绵之道。（《鲁迅书信集·致沈雁冰》）,bwbw,3924
不相上下,bù  xiāng  shàng  xià,分不出高低好坏。形容水平相当。,唐·陆龟蒙《蠹化》：“翳叶仰啮，如饥蚕之速，不相上下。”,他俩年龄相当，个头也～。,bxsx,3910
自给自足,zì  jǐ  zì  zú,给：供给。依靠自己的生产，满足自己的需要。,《三国志·魏志·步隲传》：“种瓜自给。”《列子·黄帝》：“不施不惠，而物自足。”,人民在党和政府的组织领导下，展开了～的大生产运动。（冯德英《苦菜花》第九章）,zjzz,3908
民以食为天,mín  yǐ  shí  wéi  tiān,天：比喻赖以生存的最重要的东西。人民以粮食为自己生活所系。指民食的重要。,《汉书·郦食其传》：“王者以民为天，而民以食为天。”,国以民为本，～。（董必武《挽沈骊英女士》）,myst,3901
打草惊蛇,dǎ  cǎo  jīng  shé,原比喻惩甲菟乙。后多比喻做法不谨慎，反使对方有所戒备。,明·郎瑛《七修类稿》卷二十四：“打草惊蛇，乃南唐王鲁为当涂令，日营资产，部人诉主簿贪污，鲁曰：‘汝虽打草，吾已惊蛇。’”,空自去“～”，倒吃他做了手脚，却是不好。（明·施耐庵《水浒全传》第二十九回）,dcjs,3900
守望相助,shǒu  wàng  xiāng  zhù,守望：防守了望。为了对付来犯的敌人或意外的灾祸，邻近各村落互相警戒，互相援助。,《孟子·滕文公上》：“出入相友，守望相助，疾病相扶持。”,,swxz,3898
鼓舞人心,gǔ  wǔ  rén  xīn,鼓舞：振作，奋发。振奋人们的信心。增强人们的勇气。,汉·扬雄《法言·先知》：“鼓舞万物者，雷风乎？鼓舞万从者，号令乎？”,也不过四处游说，～。（清·岭南羽衣女士《东欧女豪杰》第四回）,gwrx,3891
三五成群,sān  wǔ  chéng  qún,几个人、几个人在一起。,明·余继登《典故纪闻》卷十二：“三五成群，高谈嬉笑。”,一般也有轻薄少年及儿童之辈，见他又挑柴，又读书，～，把他嘲笑戏侮。（明·冯梦龙《古今小说》卷二十七）,swcq,3873
接踵而来,jiē  zhǒng  ér  lái,指人们前脚跟着后脚，接连不断地来。形容来者很多，络绎不绝。,《宋史·李显忠传》：“入城，宣布德意，不戮一人，中原归附者踵接。”,整个的“新饭碗”一时虽未找到，零碎的小事却～。（邹韬奋《经历·新饭碗问题》）,jzel,3862
赏心悦目,shǎng  xīn  yuè  mù,悦目：看了舒服。指看到美好的景色而心情愉快。,,两人到山脚下一看，只见新叶嫩碧，土地金黄，野草开着些红红白白的小花，真是连看看也～。（鲁迅《故事新编·采薇》）,sxym,3858
夜以继日,yè  yǐ  jì  rì,晚上连着白天。形容加紧工作或学习。,《庄子·至乐》：“夫贵者，夜以继日，思虑善否。”《孟子·离娄下》：“仰而思之，夜以继日。”,殷之季君，亦奏斯乐。酒池肉林，～。（三国魏·阮籍《乐论》）,yyjr,3850
起早贪黑,qǐ  zǎo  tān  hēi,起得早，睡得晚。形容辛勤劳动。,,,qzth,3846
爱不释手,ài  bù  shì  shǒu,释：放下。喜爱得舍不得放手。,南朝梁·萧统《陶渊明集序》：“余爱嗜其文，不能释手。”,虽是不合他的路数，可奈文有定评，他看了也知道～。（清·文康《儿女英雄传》第三十五回）,abss,3845
手足无措,shǒu  zú  wú cuò,措：安放。手脚不知放到哪儿好。形容举动慌张，或无法应付。,《论语·子路》：“刑罚不中，则民无所措手足。”,正忧疑不定，忽报宋兵到了，惊得～。（清·陈忱《水浒后传》第十二回）,szwc,3844
一分为二,yī  fēn  wéi  èr,哲学用语，指事物作为矛盾的统一体，都包含着相互矛盾对立的两个方面。通常指全面看待人或事物，看到积极方面，也看到消极方面。,,,yfwe,3842
不可多得,bù  kě  duō  dé,形容非常稀少，很难得到（多指人才或稀有物品）。,汉·王充《论衡·超奇篇》：“譬珠玉不可多得，以其珍也。”,这颗钻石真可以说是～的稀世珍宝。,bkdd,3841
喜出望外,xǐ  chū  wàng  wài,望：希望，意料。由于没有想到的好事而非常高兴。,宋·苏轼《与李之仪书》：“契阔八年，岂谓复有见日？渐近中原，辱书尤数，喜出望外。”,这可真叫他～。（沙汀《催粮》）,xcww,3841
何乐而不为,hé  lè  ér  bù  wéi,有什么不乐于去做的呢？表示愿意去做。,清·李汝珍《镜花缘》第三十六回：“此地河道，为患已久，居民被害已深，闻贵人修治河道，虽士商人等，亦必乐于从事；况又发给工钱饭食，那些小民，何乐不为？”,这件事对国家对个人都有益处，～？,hlew,3831
口口相传,kǒu  kǒu  xiāng  chuán,不著文学，口头相传。,宋·张君房《云笈七签》第七十二卷：“经云：‘知白守黑，神明自来。’是知玄为万物母，圣人秘之，不形文字，口口相传。”,虽然他败坏了～的韵事。（鲁迅《且介亭杂文·病后杂谈》）,kkxc,3822
只争朝夕,zhǐ  zhēng  zhāo  xī,朝：早晨；夕：晚上；朝夕：形容时间短暂。比喻抓紧时间，力争在最短的时间内达到目的。,,天地转，光阴迫。一万年太久，～。（毛泽东《满江红·和郭沫若同志》词）,zzzx,3816
气喘吁吁,qì  chuǎn  xū  xū,形容呼吸急促，大声喘气。,明·许仲琳《封神演义》第二十六回：“一眼看见喜媚乌云散乱，气喘吁吁。”,廖二嫂～，脸色铁青，奔到他面前来了。（沙汀《呼嚎》）,qcxx,3793
猝不及防,cù  bù  jí  fáng,猝：突然，出其不意。事情来得突然，来不及防备。,清·纪昀《阅微草堂笔记·姑妄听之一》：“既不炳烛，又不扬声，猝不及防，突然相遇，是先生犯鬼，非鬼犯先生。”,,cbjf,3787
不甘示弱,bù  gān  shì  ruò,示：显示，表现。不甘心表示自己比别人差。表示要较量一下，比个高低。,,台下有人骂起来。师父～，也给他们一个回骂。（鲁迅《且介亭杂文附集·我的第一个师父》）,bgsr,3784
亡羊补牢,wáng  yáng  bǔ  láo,亡：逃亡，丢失；牢：关牲口的圈。羊逃跑了再去修补羊圈，还不算晚。比喻出了问题以后想办法补救，可以防止继续受损失。,《战国策·楚策》：“见兔而顾犬，未为晚也；亡羊而补牢，未为迟也。”,张学良始则失地，今幸固守锦州，～，可称晚悟。（章炳麟《与孙思昉论时事书》二）,wybl,3783
意气风发,yì  qì  fēng  fā,意气：意志和气概；风发：象风吹一样迅猛。形容精神振奋，气概豪迈。,,伟大的中国人民正在～地建设自己的祖国。,yqff,3781
摩拳擦掌,mó  quán  cā  zhǎng,形容战斗或劳动之前，人们精神振奋，跃跃欲试的样子。,元·康进之《李逵负荆》第二折：“俺可也～，行行里按不住莽撞心头气。”,这是第一次出马，人们都～，心里突突跳着准备战斗。（梁斌《红旗谱》四十八）,mqcz,3777
千差万别,qiān  chā  wàn  bié,形容各类多，差别大。,宋·释道原《景德传灯录》卷二十五：“僧问：‘如何是无异底事？’师曰：‘千差万别。’”,,qcwb,3776
喜怒哀乐,xǐ  nù  āi  lè,喜欢、恼怒、悲哀、快乐。泛指人的各种不同的感情。,《礼记·中庸》：“喜怒哀乐之未发谓之中，发而皆中节谓之和。”,虽是海外之邦，不过言语不同，衣服有异，那～的人情，原是一样的。（清·陈忱《水浒后传》第三十一回）,xnal,3776
酸甜苦辣,suān  tián  kǔ  là,指各种味道。比喻幸福、痛苦等各种遭遇。,,,stkl,3773
惟妙惟肖,wéi  miào  wéi  xiào,描写或模仿的非常逼真。,,她扮演一位英雄的母亲，言谈举止，无不～。,wmwx,3772
自相矛盾,zì  xiāng  máo  dùn,矛：进攻敌人的刺击武器；盾：保护自己的盾牌。比喻自己说话做事前后抵触。,《韩非子·难一》：“楚人有鬻盾与矛者，誉之曰：‘吾盾之坚，莫之能陷也。’又誉其矛曰：‘吾矛之利，于物无不陷也。’或曰：‘以子之矛陷子之盾，何如？’其人勿能应也。”,这些理论～。,zxmd,3765
中流砥柱,zhōng  liú  dǐ  zhù,就象屹立在黄河急流中的砥柱山一样。比喻坚强独立的人能在动荡艰难的环境中起支柱作用。,《晏子春秋·内篇谏下》：“吾尝从君济于河，鼋衔左骖，以入砥柱之中流。”,,zldz,3760
真相大白,zhēn  xiàng  dà  bái,大白：彻底弄清楚。真实情况完全弄明白了。,,经过公安干警一个多月的严密侦察，这桩案件终于～。,zxdb,3754
早出晚归,zǎo  chū  wǎn  guī,早晨出动，晚上归来。,《战国策·齐策六》：“女朝出而晚来，则吾倚门而望。”,他按照～捕鱼撒网那股悠闲的心情撑着船，编算着使自己高兴也使别人高兴的事情。（孙犁《芦花荡》）,zcwg,3751
繁荣昌盛,fán  róng  chāng  shèng,繁荣：兴旺发达；昌盛：兴旺。指国家兴旺发达，欣欣向荣。,,我国的戏剧艺术越来越～了。,frcs,3745
异口同声,yì  kǒu  tóng  shēng,不同的嘴说出相同的话。指大家说得都一样。,《宋书·庾炳之传》：“伏复深思，只有愚滞，今之事迹，异口同音，便是彰著，政未测得物之数耳。”,众人～地叫着：“罚！罚！”（巴金《家》十三）,ykts,3745
喜气洋洋,xǐ  qì  yáng  yáng,洋洋：得意的样子。充满了欢喜的神色或气氛。,宋·范仲淹《岳阳楼记》：“登斯楼也，则有心旷神怡，宠辱皆忘，把酒临风，其喜洋洋者矣。”,马上的将士们都是精神抖擞，～，丝毫不象是吃过败仗。（姚雪垠《李自成》第二卷第三十五章）,xqyy,3732
大是大非,dà  shì  dà  fēi,属于政治原则性的是非问题。,,,dsdf,3726
自食其力,zì  shí  qí  lì,依靠自己的劳动所得来生活。,《礼记·礼器》：“食力无数。”陈浩集说：“食力，自食其力之人。”,居贫，～，隐田里间，以教授为业，非义不为，人敬惮之。（明·李昌祺《剪灯余话·泰山御史传》）,zsql,3724
言传身教,yán  chuán  shēn  jiào,言传：用言语讲解、传授；身教：以行动示范。既用言语来教导，又用行动来示范。指行动起模范作用。,《庄子·天道》：“语之所贵者意也，意有所随。意之所随者，不可以言传也。”,,ycsj,3721
浴血奋战,yù  xuè  fèn  zhàn,形容顽强地拼死战斗。,,全班战士，个个奋勇当先，冲下山去与敌人～。,yxfz,3716
大惊小怪,dà  jīng  xiǎo  guài,形容对没有什么了不起的的事情过分惊讶。,宋·朱熹《答林择之》：“要肱把此事做一平常事看，朴实头做将去，久之自然见效，不必如此大惊小怪，起模画样也。”,兄弟，休要～的，则他便是杨衙内，是个有权有势的的。（元·李文蔚《燕青博鱼》第一折）,djxg,3700
转危为安,zhuǎn  wēi  wéi  ān,由危险转为平安（多指局势或病情）。,宋·司马光《论周琰事乞不坐冯浩状》：“陛下当此之时变危为安，变乱为治，易于返掌。”,经医务人员的全力抢救，这名危重病人已经～。,zwwa,3695
见缝插针,jiàn  fèng  chā  zhēn,比喻尽可能利用一切可以利用的空间或时间。,,,jfcz,3691
平易近人,píng  yì  jìn  rén,对人和蔼可亲，没有架子，使人容易接近。也指文字浅显，容易了解。,《史记·鲁周公世家》：“平易近民，民必归之。”,凡昌黎（韩愈）与东野（孟郊）联句，必字字争胜，与他人联句，则～。（清·赵翼《瓯北诗话》卷三）,pyjr,3687
